"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"14","7b1ecf5e-1c1d-40d0-91a9-cbde801c4409","Akademia Bialska im. Jana Pawła II","2000-08-01","Minister Nauki (poprzednio MEiN)","Uczelnia publiczna","Nie","","","","zawodowa","","030310705","5372131853","","328","","","http://www.akademiabialska.pl","kontakt@akademiabialska.pl","83 344 99 00","/pswbialapodlaska/SkrytkaESP","Polska","lubelskie","ul. Sidorska","95/97","21-500","Biała Podlaska","Jerzy Nitychoruk - Rektor","cac3b709-0477-4da3-a3ee-abda179aab8d",,,,,"Akademia Bialska Nauk Stosowanych im. Jana Pawła II","2022-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2000-08-01","Działająca","2000-08-01","akademicka","2022-10-01","ul. Sidorska 95/97, 21-500 Biała Podlaska, woj. lubelskie, Polska","2000-08-01"
"15","7b1ecf5e-1c1d-40d0-91a9-cbde801c4409","Akademia Bialska im. Jana Pawła II","2000-08-01","Minister Nauki (poprzednio MEiN)","Uczelnia publiczna","Nie","","","","zawodowa","","030310705","5372131853","","328","","","http://www.akademiabialska.pl","kontakt@akademiabialska.pl","83 344 99 00","/pswbialapodlaska/SkrytkaESP","Polska","lubelskie","ul. Sidorska","95/97","21-500","Biała Podlaska","Jerzy Nitychoruk - Rektor","cac3b709-0477-4da3-a3ee-abda179aab8d",,,,,"Akademia Bialska Nauk Stosowanych im. Jana Pawła II","2022-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2000-08-01","Działająca","2000-08-01","zawodowa","2023-06-13","ul. Sidorska 95/97, 21-500 Biała Podlaska, woj. lubelskie, Polska","2000-08-01"
"16","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"17","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
"18","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"19","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
"20","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"21","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
"22","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"23","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Nauki (poprzednio MEiN)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
"24","1cb32064-70d2-4de8-b43f-8e67b8a4286b","Akademia Finansów i Biznesu Vistula","1992-01-22","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","011021150","5260009816","","091","2","","http://www.vistula.edu.pl","info@vistula.edu.pl","+48 22-45-72-300"," /AFiBV-Warszawa/SkrzynkaESP","Polska","mazowieckie","ul. Stokłosy","3","02-787","Warszawa","Wawrzyniec Konarski - Rektor","f3e77bfd-501b-47b3-ae3f-ded8652fa150",,,,,"Akademia Finansów w Warszawie","1992-01-22","Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","187760da-93f3-452f-962e-dcbd2218aacc","130176830","5681149880","","","41","Minister Nauki (poprzednio MEiN)","Włączenie","2019-09-30",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1992-01-22","Działająca","1992-01-22","akademicka","1992-01-22","ul. Stokłosy 3, 02-787 Warszawa, woj. mazowieckie, Polska","1992-01-22"
"25","1cb32064-70d2-4de8-b43f-8e67b8a4286b","Akademia Finansów i Biznesu Vistula","1992-01-22","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","011021150","5260009816","","091","2","","http://www.vistula.edu.pl","info@vistula.edu.pl","+48 22-45-72-300"," /AFiBV-Warszawa/SkrzynkaESP","Polska","mazowieckie","ul. Stokłosy","3","02-787","Warszawa","Wawrzyniec Konarski - Rektor","f3e77bfd-501b-47b3-ae3f-ded8652fa150",,,,,"Akademia Finansów i Biznesu Vistula","2012-11-02","Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","187760da-93f3-452f-962e-dcbd2218aacc","130176830","5681149880","","","41","Minister Nauki (poprzednio MEiN)","Włączenie","2019-09-30",,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1992-01-22","Działająca","1992-01-22","akademicka","1992-01-22","ul. Stokłosy 3, 02-787 Warszawa, woj. mazowieckie, Polska","1992-01-22"
"26","919617f6-b49f-4075-b60b-465136e8dcb3","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","1919-10-20","Minister Nauki (poprzednio MEiN)","Uczelnia publiczna","Nie","","","","akademicka","","000001577","6750001923","","267","","","http://www.agh.edu.pl","biuro@agh.edu.pl","12-617-45-54","/AGH/SkrytkaESP","Polska","małopolskie","al. Adama Mickiewicza","30","30-059","Kraków","Jerzy Lis - Rektor","",,,,,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","1919-10-20",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1919-10-20","Działająca","1919-10-20","akademicka","1919-10-20","al. Adama Mickiewicza 30, 30-059 Kraków, woj. małopolskie, Polska","1919-10-20"
"27","58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5","Akademia Górnośląska im. Wojciecha Korfantego w Katowicach","1994-06-15","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","272199522","9540007281","","134","36","","http://www.gwsh.pl","rektor@gwsh.pl","323570539","/GWSH-KATOWICE/SkrytkaESP","Polska","śląskie","ul. Harcerzy Września 1939","3","40-659","Katowice","Marta Adamczyk - Rektor","c4c4a10a-6bfc-4994-9179-5d30368878a7",,,,,"Górnośląska Wyższa Szkoła Handlowa im. Wojciecha Korfantego w Katowicach","1994-06-15",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1994-06-15","Działająca","1994-06-15","akademicka","1994-06-15","ul. Harcerzy Września 1939 3, 40-659 Katowice, woj. śląskie, Polska","1994-06-15"
"28","58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5","Akademia Górnośląska im. Wojciecha Korfantego w Katowicach","1994-06-15","Minister Nauki (poprzednio MEiN)","Uczelnia niepubliczna","Nie","","","","akademicka","","272199522","9540007281","","134","36","","http://www.gwsh.pl","rektor@gwsh.pl","323570539","/GWSH-KATOWICE/SkrytkaESP","Polska","śląskie","ul. Harcerzy Września 1939","3","40-659","Katowice","Marta Adamczyk - Rektor","c4c4a10a-6bfc-4994-9179-5d30368878a7",,,,,"Akademia Górnośląska im. Wojciecha Korfantego w Katowicach","2022-07-07",,,,,,,,,,,,,,,,,,,,,"Minister Nauki (poprzednio MEiN)","1994-06-15","Działająca","1994-06-15","akademicka","1994-06-15","ul. Harcerzy Września 1939 3, 40-659 Katowice, woj. śląskie, Polska","1994-06-15"
